group	tsnr_mean	n_parcels	dataset	subject	session	task	run
subcortex_PUT	26.233953719451165	8	things	01	08	things	1
subcortex_THA	26.762724674128624	14	things	01	08	things	1
cerebellum	28.21941900025199	88	things	01	08	things	2
cortex_Cont	37.67929025091363	128	things	01	08	things	2
cortex_Default	35.541565724710445	209	things	01	08	things	2
cortex_DorsAttn	39.14725391530232	122	things	01	08	things	2
cortex_Limbic	15.543575037891099	60	things	01	08	things	2
cortex_SalVentAttn	39.73774720981522	121	things	01	08	things	2
cortex_SomMot	37.99273897907847	194	things	01	08	things	2
cortex_Vis	31.624133513689763	162	things	01	08	things	2
subcortex_CAU	26.72361818207451	8	things	01	08	things	2
subcortex_PUT	25.27416281936193	8	things	01	08	things	2
subcortex_THA	26.24643239649045	14	things	01	08	things	2
cerebellum	28.167219852258185	88	things	01	08	things	3
cortex_Cont	39.301512919032895	128	things	01	08	things	3
cortex_Default	37.31586808528076	209	things	01	08	things	3
cortex_DorsAttn	40.45389146761141	122	things	01	08	things	3
cortex_Limbic	16.665518798071773	60	things	01	08	things	3
cortex_SalVentAttn	41.275524678754536	121	things	01	08	things	3
cortex_SomMot	39.32657790068913	194	things	01	08	things	3
cortex_Vis	32.5218685242353	162	things	01	08	things	3
subcortex_CAU	28.442865063805595	8	things	01	08	things	3
subcortex_PUT	26.711153374754915	8	things	01	08	things	3
subcortex_THA	27.20038125319073	14	things	01	08	things	3
cerebellum	28.759679183817344	88	things	01	08	things	4
cortex_Cont	40.92486837720111	128	things	01	08	things	4
cortex_Default	37.973565603233276	209	things	01	08	things	4
cortex_DorsAttn	43.7650276384676	122	things	01	08	things	4
cortex_Limbic	16.069642483211556	60	things	01	08	things	4
cortex_SalVentAttn	42.32023136040222	121	things	01	08	things	4
cortex_SomMot	41.49390683563131	194	things	01	08	things	4
cortex_Vis	34.34719940932492	162	things	01	08	things	4
subcortex_CAU	26.999996550687783	8	things	01	08	things	4
subcortex_PUT	26.292472924772866	8	things	01	08	things	4
subcortex_THA	27.01672541634198	14	things	01	08	things	4
cerebellum	27.754095364793592	88	things	01	08	things	5
cortex_Cont	38.811745016905064	128	things	01	08	things	5
cortex_Default	36.42214151654214	209	things	01	08	things	5
cortex_DorsAttn	42.02359092539005	122	things	01	08	things	5
cortex_Limbic	14.588510349420647	60	things	01	08	things	5
cortex_SalVentAttn	40.21820684103479	121	things	01	08	things	5
cortex_SomMot	39.8546361012329	194	things	01	08	things	5
cortex_Vis	32.612109028575304	162	things	01	08	things	5
subcortex_CAU	24.919333570024392	8	things	01	08	things	5
subcortex_PUT	24.855295641628803	8	things	01	08	things	5
subcortex_THA	25.326259398037525	14	things	01	08	things	5
