region_name	group	tsnr_mean	dataset	subject	session	task	run
7Networks_LH_SomMot_63	cortex_SomMot	54.87084680820895	floc	01	001	fLoc	1
7Networks_LH_SomMot_64	cortex_SomMot	50.19432847683002	floc	01	001	fLoc	1
7Networks_LH_SomMot_65	cortex_SomMot	52.050967864809756	floc	01	001	fLoc	1
7Networks_LH_SomMot_66	cortex_SomMot	53.34536327552996	floc	01	001	fLoc	1
7Networks_LH_SomMot_67	cortex_SomMot	52.98950224243897	floc	01	001	fLoc	1
7Networks_LH_SomMot_68	cortex_SomMot	46.99395425918695	floc	01	001	fLoc	1
7Networks_LH_SomMot_69	cortex_SomMot	59.11158027557884	floc	01	001	fLoc	1
7Networks_LH_SomMot_70	cortex_SomMot	57.318758298490025	floc	01	001	fLoc	1
7Networks_LH_SomMot_71	cortex_SomMot	60.72196799969205	floc	01	001	fLoc	1
7Networks_LH_SomMot_72	cortex_SomMot	54.68457779573522	floc	01	001	fLoc	1
7Networks_LH_SomMot_73	cortex_SomMot	51.49498040454969	floc	01	001	fLoc	1
7Networks_LH_SomMot_74	cortex_SomMot	47.02171784719893	floc	01	001	fLoc	1
7Networks_LH_SomMot_75	cortex_SomMot	59.78851295815962	floc	01	001	fLoc	1
7Networks_LH_SomMot_76	cortex_SomMot	58.6901587102422	floc	01	001	fLoc	1
7Networks_LH_SomMot_77	cortex_SomMot	61.91654452823199	floc	01	001	fLoc	1
7Networks_LH_SomMot_78	cortex_SomMot	50.31145358459231	floc	01	001	fLoc	1
7Networks_LH_SomMot_79	cortex_SomMot	59.5986519229461	floc	01	001	fLoc	1
7Networks_LH_SomMot_80	cortex_SomMot	57.26555461699462	floc	01	001	fLoc	1
7Networks_LH_SomMot_81	cortex_SomMot	57.258860627604484	floc	01	001	fLoc	1
7Networks_LH_SomMot_82	cortex_SomMot	55.57746686976368	floc	01	001	fLoc	1
7Networks_LH_SomMot_83	cortex_SomMot	59.079073792325794	floc	01	001	fLoc	1
7Networks_LH_SomMot_84	cortex_SomMot	52.55034215396017	floc	01	001	fLoc	1
7Networks_LH_SomMot_85	cortex_SomMot	57.4031602002064	floc	01	001	fLoc	1
7Networks_LH_SomMot_86	cortex_SomMot	49.27682915683561	floc	01	001	fLoc	1
7Networks_LH_SomMot_87	cortex_SomMot	49.85165515222663	floc	01	001	fLoc	1
7Networks_LH_SomMot_88	cortex_SomMot	44.38309892046703	floc	01	001	fLoc	1
7Networks_LH_SomMot_89	cortex_SomMot	55.276179707348426	floc	01	001	fLoc	1
7Networks_LH_SomMot_90	cortex_SomMot	60.0859186833432	floc	01	001	fLoc	1
7Networks_LH_SomMot_91	cortex_SomMot	58.135814607423136	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_1	cortex_DorsAttn	37.94334446426147	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_2	cortex_DorsAttn	47.45730304985858	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_3	cortex_DorsAttn	42.904693998637256	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_4	cortex_DorsAttn	51.42729266588766	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_5	cortex_DorsAttn	52.783074418100625	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_6	cortex_DorsAttn	56.03406547061378	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_7	cortex_DorsAttn	59.593577651773025	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_8	cortex_DorsAttn	63.42646556798915	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_9	cortex_DorsAttn	55.8608081602094	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_10	cortex_DorsAttn	49.836667647361246	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_11	cortex_DorsAttn	54.724716976557424	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_12	cortex_DorsAttn	50.67868794457499	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_13	cortex_DorsAttn	56.05075614399778	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_14	cortex_DorsAttn	43.78502469181931	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_15	cortex_DorsAttn	56.118794426198505	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_16	cortex_DorsAttn	59.77164665376217	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_17	cortex_DorsAttn	60.50155493527578	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_18	cortex_DorsAttn	54.79054043193997	floc	01	001	fLoc	1
